PARTICIPANT,AGE,GENDER,COMPLETE,KNOW,GeneralFear,GeneralEnjoyment,Play,RecallScientist,FearScientist,EnjoymentScientist,RecallPiggy,FearPiggy,EnjoymentPiggy,RecallZombies,FearZombies,EnjoymentZombies,FearRankingScientist,FearRankingPiggy,FearRankingZombies,EnjoymentRankingScientist,EnjoymentRankingPiggy,EnjoymentRankingZombies,VisitedAttractionBeforeThisYear,VisitedLastYearsAttraction,HorrorConsumption,ConsumerSatisfaction
5,16,2,1,7,7,9,8,1,3,7,1,2,8,1,8,9,1,2,3,1,2,3,0,1,6,8
7,34,1,1,5,5,9,9,1,6,8,1,7,9,1,4,8,2,1,3,2,1,3,0,0,1,9
1,34,2,1,2/3/4,6,7,9,1,1,3,1,6,5,1,4,5,3,1,2,3,1,2, , , , 
2,57,2,1,1/3/4,7,1,7,1,8,0,1,9,0,1,6,0,2,1,3,2,3,1,0,0,1,9
4,47,2,1,1/2/3,6,8,7,1,8,9,1,8,8,1,5,6,1,2,3,2,1,3,0,0,1,7
3,43,2,1,1/2/4,5,7,7,1,5,7,1,6,8,1,2,4,2,1,3,2,1,3,0,0,3,7
23,50,1,1,21/24/22,3,8,6,1,5,7,1,6,8,1,6,8,2,1,3,2,1,3,0,0,1,7
22,34,1,1,24/21/23/25,3,9,9,0, , ,1,1,9,1,1,8,1,3,2,1,2,3,0,0,1,9
24,14,2,1,25/21/23/22,3,9,8,1,5,7,1,7,3,1,3,6,2,1,3,2,1,3,0,0,5,7
21,12,1,1,23/25/22/24,8,9,2,0, , ,1,9,8,1,5,7,1,2,3,2,1,3,0,0,6,9
25,14,1,1,23/21/24/22,8,9,9,1,6,9,1,4,4,1,3,8,1,2,3,3,2,1,0,0,5,9
14,34,2,1,15/16/18,5,9,9,1,3,9,1,4,9,1,1,9,1,2,3,2,1,3,0,1,5,9
16,43,1,1,13/14/15,8,9,9,1,8,9,1,9,9,1,5,9,2,1,3,2,1,3,0,1,7,9
13,19,1,1,14/15/16,8,9,0,1,9,9,1,9,9,1,6,9,2,1,3,2,1,3,0,1,2,9
15,42,1,1,16/14/13,4,9,7,1,5,9,1,6,9,1,2,9,2,1,3,2,1,3,0,0,4,9
9,15,2,1,10/11/12,8,9,6,1,4,5,1,9,8,1,6,5,2,1,3,3,1,2,0,1,4,9
10,41,2,1,9/11/12,8,9,9, , , ,1,8,8,1,5,7,2,1,3,2,1,3,0,1,6,9
11,46,2,1,9/10/12,9,9,9,1,9,9,1,9,9,1,9,9,1,2,3,2,1,3,0,1,5,9
12,21,1,1,9/10/11,0,9,8,1,0,5,1,0,9,1,0,5,1,2,3,2,1,3,0,1,1,9
34,18,1,1,31/28/33,2,8,5,1,1,6,1,3,5,1,5,5, , , , , , ,1,1,4,6
31,19,1,1,34/28/33,1,9,7,1,2,5,1,5,9,1,5,9,1,3,2,1,3,2,0,0,5,9
28,20,1,1,31/34/33,5,7,7,1,2,5,1,4,7,1,3,5, , , , , , ,0,0,3,7
33,27,1,1,28/34/31,0,6,9,1,1,9,1,0,7,1,0,9,1,2,3,2,1,3,0,0,5,6
26,19,1,1,32/27/28,6,9,9,1,5,7,1,8,9,1,6,7, , , , , , ,0,0,3,9
32,20,1,1,27/26/28,4,9,5,1,3,6,1,0,0,1,5,9,2,1,3,2,1,3,0,0,5,9
27,21,1,1,29/26/32,3,6,6,1,2,4,1,4,7,1,4,4, , , , , , ,0,0,6,7
29,18,1,1,26/32/27,9,9,6,1,9,6,1,9,9,1,4,9,2,1,3,2,3,1,0,0,0,9
17,38,2,1,18/19/20,7,9,8,1,9,9,1,8,8,1,5,5,3,1,2,3,1,2, , , , 
19,16,2,1,18/20/17,8,0,2,1,4,1,1,9,0,1,5,2,2,1,3,2,3,1,0,0,2,8
18,33,1,1,17/19/20,7,9,9,1,7,8,1,6,9,1,3,9,1,2,3,2,1,3,0,0,4,9
36,21,2,1,35/37/38,3, ,3,1,5,8,1,3,9,1,1,9,1,2,3,1,2,3,0,0,4,4
37,48,2,1,35/36/38,0,9,9,1,0,4,1,0,2,1,0,9,3,2,1,1,3,2,0,0,2,6
38,22,1,1,35/36/37,5,6,5,1,5,4,1,7,6,1,3,3, , , , , , ,0,0,0,6
35,41,2,1,36/37/38,2,3,3,1,4,4,1,4,4,1,2,4,2,1,3,2,1,3,0,0,2,5
41,43,2,1,43/44/39/40,7,9,9,1,4,4,1,8,9,1,5,6,2,1,3,3,1,2,0,0,1,7
42,17,2,1,39/40/41/43/44,4,8,9,1,5,6,1,8,3,1,6,3,2,1,3,2,3,1,1,0,1,7
40,45,2,1,39/41/42/43,2,4,7,1,4,3,1,6,4,1,2,3,2,1,3,2,3,1,0,0,3,4
39,51,1,1,40/41/42/43,2,2,9,1,2,8,1,1,8,1,0,9,1,2,3,3,1,2,0,0,2,4
44,51, ,1, ,7,8,4,1,7,8,1,9,5,1,3,3,2,1,3,2,1,3,0,0,0,7
43,50,2,1,39/41/40/44/42,2,7,5,1,5,5,1,2,8,1,0,8,1,2,3,1,2,3,0,0,0,8
48,39,2,1,45/46/47,8,3,7,1,4,2,1,7,2,1,4,6,1,2,3,1,2,3,0,0,4,9
45,52,1,1,48/46/47,5,6,7,0,4,6,1,4,4,1,4,4, , , , , , ,0,0,0,7
46,39,2,1,45/47/48,9,9,9,1,9,9,1,9,5,1,6,6,2,1,3,2,1,3,0,0,3,9
47,41,1,1,45/46/48,3,5,5,0,2,5,1,3,5,1,2,5,2,1,3,1,3,2,0,0,1,5
52,25,2,1,50/51/49,8,6,5,1,6,5,1,9,4,1,3,3,2,1,3,2,1,3,0,1,2,8
50,25,2,1,49/51/52,8,1,5,1,7,1,0,7,2,1,7,1,1,2,3,2,1,3,0,1,2,8
61,22,2,1,52/50/49,9,0,9,1,9,0,1,9,0,1,9,0,1,2,3,3,2,1,0,1,3,9
49,25,2,1,50/52/51,9,7,6,1,8,6,1,9,0,1,7,3,2,1,3,2,1,3,0,1,2,8
57,26,2,1,60/59/58,8,7,6,1,3,6,1,9,2,1,5,5,3,1,2,1,3,2,0,0,2,8
58,31,1,1,57/59/60,5,7,6,1,2,3,1,5,6,1,1,2,2,1,3,2,1,3,0,0,1,6
60,30,1,1,57/58/59,6,6,6,0,4,5,1,4,5,1,2,2,1,2,3,2,1,3,0,0,1,6
59,28,2,1,60/57/58,7,9,8,1,6,7,1,9,9,1,7,9,3,1,2,3,1,2,0,0,5,9
54,43,2,1,53/55/56,7,8,3,1,7,8,1,8,8,1,4,7,2,1,3,2,1,3,0,0,0,9
55,37,2,1,53/54/56,9,9,9,1,9,9,1,9,9,1,7,9,2,1,3,2,3,1,0,0,4,9
53,40,2,1,54/55/56,9,8,7,1,6,5,1,9,3,1,4,4,2,1,3,2,1,3,0,0,0,9
56,36,1,1,53/54/55,5,9,9,1,6,8,1,7,8,0, , ,2,1,3,2,1,3,0,0,2,8
68,37,2,1,67/66/65,8,5,6,1,4,4,1,9,4,1,6,5, , , ,3,1,2,0,0,2,7
67,39,1,1,66/68/65,7,9,8,1,0,0,1,7,9,1,5,8,3,1,2,2,1,3,0,0,6,9
65,35,1,1,67/66/68,2,8,5,1,1,8,1,1,8,1,3,8,2,3,1,3,1,2,0,0,6,8
66,35,2,1,67/68/65,7,1,7,1,6,1,1,9,0,1,5,4,2,1,3,2,3,1,0,0,0,3
71,21,1,1,70/69/72/73,5,7,9,1,8,7,1,9,9,1,4,5,2,1,3,2,1,3,0,0,4,9
69,21,2,1,70/71/72/73,9,5,5,1,9,5,1,9,5,1,9,5,2,3,1,2,3,1,0,0,2,9
70,21,2,1,69/71/72/73,9,4,8,0, , ,1,9,1,1,6,1,3,1,2, , , ,0,0,2,9
72,24,1,1,73/69/71/70,4,7,5,1,6,5,1,7,5,1,5,5,3,1,2,1,2,3,0,0,4,5
73,22,1,1,70/69/71/72,9,7,7,1,4,5,1,9,7,0, , ,2,1,3,2,1,3,0,0,1,9
78,34,1,1,80,7,6,7,0,5,5,1,7,7,1,6,6,2,1,3,2,1,3,0,0,3,9
80,27,2,1,78,8,5,7,1,8,3,1,9,1,1,5,3,2,1,3,2,1,3,0,1,3,9
77,30,1,1,76/74/75,4,7,8,1,4,8,1,8,9,1,2,5,2,1,3,2,1,3,0,0,4,7
76,29,2,1,74/75/77,7,9,9,1,7,9,1,9,9,1,7,9,2,1,3,2,1,3,0,0,2,9
75,28,2,1,74/77/76,4E-05,6,9,0, , ,1,9,9,1,7,7,3,1,2,3,1,2,0,1,0,7
