ID,UserLanguage,Age,Gender,Educ,Educ_Mom,Country,Isolation,COVID_Concerns,Corona_concerns_1,Corona_concerns_2,Corona_concerns_3,Corona_concerns_4,Corona_concerns_5,COVID_Compliance,Compliance_1,Compliance_2,Compliance_3,Compliance_4,Compliance_5,Compliance_6,Compliance_6
2,UR,20,Male,"College degree, bachelor, master",None,Pakistan,NA,16,1,2,4,4,5,20,6,3,3,2,4,2,2
4,BG,79,Male,"College degree, bachelor, master",College degree,Bulgaria,1,3,3,NA,NA,NA,NA,21,3,5,5,2,2,4,4
5,SAR,61,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Argentina,1,17,4,4,3,6,NA,26,6,6,NA,4,5,5,5
6,IT,68,Male,"College degree, bachelor, master",College degree,Italy,1,25,5,5,5,5,5,24,5,5,5,4,4,1,1
7,SAR,29,Other/would rather not say,"Some College, short continuing education or equivalent",Some College or equivalent,Argentina,0,16,2,2,2,5,5,25,5,5,5,3,5,2,2
8,SAR,38,Female,Up to 12 years of school,Up to 12 years of school,Argentina,1,18,4,4,3,3,4,25,5,5,5,2,3,5,5
9,SME,35,Female,"College degree, bachelor, master",College degree,Panama,2,10,2,2,2,2,2,34,6,6,6,6,5,5,5
11,SAR,42,Female,"College degree, bachelor, master",Up to 12 years of school,Argentina,4,20,5,5,5,5,NA,26,5,6,6,1,6,2,2
12,SAR,31,Female,"College degree, bachelor, master",College degree,Argentina,3,23,3,4,5,6,5,27,5,5,5,3,5,4,4
13,SME,42,Female,Up to 9 years of school,NA,Panama,NA,17,1,5,5,5,1,30,5,5,5,5,5,5,5
14,SAR,49,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Argentina,2,24,5,5,5,5,4,30,5,6,5,4,5,5,5
15,SME,25,Female,"College degree, bachelor, master",None,Panama,3,28,5,6,5,6,6,29,5,6,6,2,5,5,5
16,SAR,40,Male,PhD/Doctorate,Some College or equivalent,Argentina,1,28,6,6,6,6,4,33,6,6,6,5,6,4,4
17,SME,60,Female,PhD/Doctorate,College degree,Mexico,1,5,1,1,1,1,1,20,6,3,3,1,6,1,1
18,SME,19,Female,Up to 12 years of school,Up to 9 years of school,Panama,4,20,5,2,5,4,4,30,6,6,6,3,3,6,6
20,SAR,64,Female,Up to 12 years of school,Up to 12 years of school,Argentina,0,23,6,6,1,5,5,33,6,3,6,6,6,6,6
22,SME,69,Female,PhD/Doctorate,Up to 6 years of school,Mexico,1,23,5,5,5,3,5,30,6,6,5,1,6,6,6
23,FR,28,Female,PhD/Doctorate,Up to 9 years of school,France,1,22,2,5,3,6,6,23,6,6,5,2,2,2,2
25,SAR,69,Female,"College degree, bachelor, master",Up to 12 years of school,Argentina,1,20,4,4,4,4,4,25,6,5,5,3,4,2,2
26,SME,63,Female,PhD/Doctorate,None,Mexico,1,11,2,4,4,1,NA,25,6,6,6,5,1,1,1
27,SAR,49,Female,NA,Up to 9 years of school,Argentina,2,21,2,5,2,6,6,22,6,5,5,2,2,2,2
28,SME,35,Female,"College degree, bachelor, master",Up to 9 years of school,Panama,1,21,3,4,4,5,5,27,5,6,6,3,5,2,2
29,SAR,64,Female,"Some College, short continuing education or equivalent",Up to 6 years of school,Argentina,1,26,5,6,5,5,5,26,6,6,6,2,4,2,2
31,BG,63,Female,"College degree, bachelor, master",Up to 12 years of school,Bulgaria,0,24,4,5,5,5,5,24,6,5,4,2,2,5,5
32,SME,44,Male,"College degree, bachelor, master",Up to 12 years of school,Panama,2,25,5,5,5,5,5,24,5,5,5,2,4,3,3
34,KO,33,Female,"College degree, bachelor, master",College degree,United States,NA,20,4,4,4,3,5,27,5,6,5,4,3,4,4
35,SME,33,Female,PhD/Doctorate,Up to 6 years of school,Panama,0,22,3,4,6,5,4,25,5,6,4,3,5,2,2
36,SAR,73,Female,"Some College, short continuing education or equivalent",Up to 9 years of school,Argentina,1,26,5,5,5,6,5,16,1,6,1,2,1,5,5
37,BG,41,Female,Up to 12 years of school,Up to 12 years of school,Bulgaria,1,26,6,6,5,5,4,22,4,5,4,4,2,3,3
38,BG,50,Female,"College degree, bachelor, master",Some College or equivalent,Bulgaria,4,9,3,2,2,1,1,21,5,3,4,4,3,2,2
40,SME,44,Female,"College degree, bachelor, master",Up to 6 years of school,Mexico,3,23,4,5,5,5,4,23,5,5,4,3,1,5,5
41,SAR,66,Male,PhD/Doctorate,Up to 12 years of school,Argentina,2,30,6,6,6,6,6,31,6,6,6,4,5,4,4
43,BG,39,Female,Up to 12 years of school,Up to 9 years of school,Bulgaria,2,19,2,4,4,5,4,24,5,4,3,5,3,4,4
44,SME,63,Female,"College degree, bachelor, master",Up to 12 years of school,Mexico,1,27,5,6,5,6,5,29,6,5,6,5,5,2,2
45,SAR,60,Female,Up to 9 years of school,None,Argentina,1,22,2,5,5,5,5,24,6,4,5,5,3,1,1
46,SME,60,Male,PhD/Doctorate,Up to 9 years of school,Mexico,1,30,6,6,6,6,6,31,6,5,5,6,6,3,3
47,SME,43,Male,PhD/Doctorate,Up to 6 years of school,Panama,3,29,6,6,5,6,6,29,6,6,6,1,4,6,6
48,SME,55,Male,PhD/Doctorate,Up to 12 years of school,Panama,4,24,5,6,5,4,4,29,4,5,6,4,6,4,4
49,BG,58,Female,Up to 12 years of school,None,Bulgaria,0,28,5,6,5,6,6,32,6,6,6,6,6,2,2
50,BG,19,Female,Up to 9 years of school,College degree,Bulgaria,3,26,4,6,4,6,6,25,6,4,5,4,3,3,3
51,SAR,23,Female,"Some College, short continuing education or equivalent",College degree,Argentina,3,27,5,6,6,5,5,21,5,5,5,2,3,1,1
52,SME,31,Male,"College degree, bachelor, master",Up to 6 years of school,Panama,1,24,5,6,5,6,2,30,6,6,6,1,6,5,5
53,DA,39,Female,Up to 12 years of school,Up to 9 years of school,Romania,3,20,4,4,4,4,4,24,5,5,5,4,4,1,1
54,FI,31,Female,"College degree, bachelor, master",College degree,Finland,NA,21,2,5,2,6,6,27,6,6,5,5,4,1,1
55,RU,67,Female,"College degree, bachelor, master",College degree,Bulgaria,0,25,5,5,5,5,5,29,6,6,6,3,4,4,4
56,SAR,57,Female,Up to 12 years of school,None,Argentina,2,26,6,6,5,6,3,25,3,6,6,1,6,3,3
57,SME,29,Female,PhD/Doctorate,College degree,Panama,NA,12,2,2,2,4,2,8,1,1,1,1,3,1,1
59,BG,52,Female,Up to 12 years of school,Up to 12 years of school,Bulgaria,0,24,5,5,5,5,4,29,5,6,5,4,4,5,5
60,SAR,61,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Argentina,1,11,2,2,3,3,1,27,6,6,6,1,6,2,2
61,SME,39,Female,Up to 12 years of school,None,Mexico,2,28,5,6,6,6,5,22,6,6,6,1,2,1,1
62,SME,51,Male,PhD/Doctorate,Some College or equivalent,Panama,2,22,5,5,5,4,3,26,5,5,5,3,4,4,4
63,BG,46,Female,"College degree, bachelor, master",Some College or equivalent,Bulgaria,NA,19,6,5,NA,5,3,22,5,5,5,3,2,2,2
64,FI,35,Female,"College degree, bachelor, master",Some College or equivalent,Finland,1,22,4,5,5,4,4,27,5,5,5,4,3,5,5
65,SAR,57,Male,"Some College, short continuing education or equivalent",Up to 6 years of school,Argentina,1,17,4,4,4,3,2,24,5,6,5,2,2,4,4
66,FI,35,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Finland,0,19,5,5,3,4,2,19,4,5,4,4,1,1,1
67,BG,56,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Bulgaria,NA,9,1,2,2,2,2,20,4,4,4,4,3,1,1
68,RU,44,Female,"College degree, bachelor, master",College degree,Russia,1,24,5,5,5,4,5,23,3,5,6,3,2,4,4
70,BG,18,Female,Up to 12 years of school,College degree,Bulgaria,2,23,2,6,4,6,5,23,6,3,3,6,4,1,1
71,SME,42,Female,"College degree, bachelor, master",College degree,Mexico,5,28,6,6,6,5,5,25,5,6,5,4,3,2,2
72,SAR,67,Female,Up to 12 years of school,Up to 6 years of school,Argentina,1,16,4,4,4,2,2,15,6,NA,5,NA,4,NA,NA
74,SME,27,Male,"College degree, bachelor, master",Up to 12 years of school,Mexico,3,19,2,5,3,6,3,21,6,5,3,1,4,2,2
76,BG,66,Female,"College degree, bachelor, master",Some College or equivalent,Bulgaria,NA,5,1,1,1,1,1,23,5,5,5,2,5,1,1
78,SME,31,Female,"College degree, bachelor, master",College degree,Mexico,1,25,5,6,5,5,4,26,5,6,6,6,1,2,2
79,BG,54,Female,"Some College, short continuing education or equivalent",Some College or equivalent,Bulgaria,0,30,6,6,6,6,6,30,6,6,6,2,5,5,5
80,BG,57,Female,"College degree, bachelor, master",Up to 12 years of school,Bulgaria,1,25,5,5,5,5,5,21,6,6,6,1,1,1,1
