ID,Age,Sex,Enjoy,RL,Span,LatMed,LatClub,Span,LatMed,LatClub
1,21,1,3.166666667,4.833333333,6,9,6,9,10,8
2,23,1,1.5,1.833333333,9,7,2,8,7,4
3,25,-1,2.833333333,6.833333333,10,9,8,3,6,4
4,25,-1,3.5,5,8,11,5,7,9,4
5,18,1,3,4.5,8,0,4,7,0,7
6,23,1,5,8.666666667,9,10,6,6,14,4
7,21,1,3,5.333333333,7,9,8,9,7,7
8,24,1,2.666666667,5.5,6,10,7,9,9,1
9,20,1,2.333333333,3.166666667,5,6,4,8,11,1
10,25,-1,3,4.833333333,8,10,1,7,11,5
11,20,1,1,2.5,9,8,8,7,9,7
12,23,1,4.833333333,6.166666667,8,8,2,9,8,4
13,21,1,3,5.5,6,0,3,6,0,3
14,24,-1,3,4.5,10,10,8,10,13,0
15,20,1,2.666666667,2.166666667,6,8,3,6,10,6
16,19,-1,1.666666667,6.333333333,8,7,4,8,5,2
17,20,1,3.333333333,4.666666667,8,8,6,9,12,6
18,21,1,4.166666667,6.333333333,8,6,9,8,10,9
19,25,-1,1.666666667,4.333333333,7,11,2,9,9,4
20,21,-1,3.666666667,5.333333333,8,10,7,9,9,7
21,21,1,3,5,7,9,5,9,9,5
22,21,-1,1.166666667,2,7,7,9,10,10,6
23,20,1,1.333333333,2.833333333,5,11,8,5,8,2
24,23,1,4,7.166666667,9,9,5,7,10,6
25,25,1,3,2.666666667,7,6,3,9,7,9
26,21,1,1.5,2.333333333,6,8,1,4,9,10
27,19,1,4.5,4.5,9,8,2,7,11,1
28,18,1,2.833333333,4.833333333,3,8,4,8,10,7
29,22,1,3.166666667,3.166666667,9,9,1,5,11,3
30,24,1,3.166666667,4.333333333,7,10,5,5,7,7
31,25,1,2.333333333,5.333333333,7,11,3,6,9,4
32,24,1,3.833333333,5.5,7,9,11,6,10,4
33,24,-1,3.166666667,1,8,8,8,8,7,7
34,18,1,2.166666667,4,6,7,7,8,12,7
35,21,1,4,1.333333333,9,10,3,8,7,6
36,23,1,2,1.666666667,9,8,11,9,9,6
37,20,1,4.666666667,1.666666667,9,10,4,8,9,6
38,19,-1,2.833333333,5.5,8,7,5,9,9,6
39,22,1,1,3,3,8,0,4,9,5
40,24,1,2.5,3,7,6,8,9,10,8
41,21,1,3.166666667,5.333333333,7,10,5,8,7,7
42,23,1,3.166666667,5.333333333,8,9,2,8,6,7
43,20,1,3.333333333,5,7,15,5,6,8,8
44,25,1,3.5,3,9,8,8,8,9,7
45,25,1,2.666666667,4.666666667,7,7,5,7,12,5
46,25,1,2,3.5,9,13,6,8,12,2
47,25,1,3.333333333,4.333333333,7,13,8,8,10,4
48,20,-1,2.333333333,4.333333333,8,12,2,8,10,2
49,20,1,4.333333333,6,9,10,4,3,9,4
50,24,1,3.166666667,4.166666667,8,10,7,6,9,3
51,25,-1,1.333333333,1.833333333,8,11,1,7,6,4
52,23,1,1.333333333,1.5,5,11,9,7,10,2
53,23,1,3.5,5.166666667,7,8,2,7,8,3
54,20,1,1.333333333,2.333333333,7,7,6,8,10,6
55,22,1,2.666666667,1.5,9,11,6,8,8,6
56,25,1,3.166666667,4.833333333,7,7,3,9,8,4
57,23,1,2.166666667,2,9,10,6,9,9,8
58,25,1,3.5,1.333333333,7,8,4,7,8,0
59,19,1,2,5,5,13,8,6,11,6
60,24,1,2.833333333,2.666666667,9,11,1,7,9,10
61,22,1,3.666666667,4.5,8,10,9,8,10,4
62,24,1,4.666666667,5.666666667,5,9,4,10,7,6
63,21,1,3.333333333,4.166666667,7,7,3,5,12,3
64,23,-1,3.5,4.833333333,8,8,2,9,9,5
65,21,1,3.833333333,4,10,9,8,9,7,7
66,24,-1,4.166666667,7.666666667,9,9,0,5,10,2
67,24,-1,2.833333333,5.333333333,8,10,5,8,11,3
68,20,1,2.166666667,2.666666667,5,4,3,9,6,7
69,20,1,4.166666667,7.5,9,10,3,7,12,6
70,18,1,4.666666667,1.833333333,6,10,5,8,9,7
71,22,1,4.5,1.833333333,9,11,5,8,11,9
72,22,1,2.166666667,5,8,12,4,7,9,7
73,23,1,1.333333333,3.5,5,11,3,8,8,2
74,22,-1,3,5.166666667,9,11,7,6,5,5
75,24,1,1.166666667,4.833333333,8,8,7,8,7,4
76,19,1,4.333333333,4.666666667,9,8,10,7,9,5
77,24,1,3.166666667,5,7,7,2,7,11,8
78,23,1,4.5,3.166666667,10,12,2,8,5,6
79,24,1,4.5,4.666666667,10,5,3,5,12,5
80,19,1,2,3,4,10,2,5,12,5
81,21,1,4.666666667,4.166666667,8,9,11,6,7,6
82,20,1,4.333333333,5.333333333,6,10,0,7,10,1
83,19,1,3.666666667,2.333333333,8,11,1,9,7,4
84,22,1,4.166666667,4.333333333,6,6,3,9,9,10
85,25,-1,3.5,5,7,11,4,8,11,7
86,21,1,3.833333333,2.166666667,10,10,5,9,11,2
87,23,1,4.5,3.833333333,5,9,8,9,7,1
88,19,1,3.833333333,4.333333333,8,8,9,7,8,2
89,25,1,2.5,7.666666667,9,10,2,8,7,7
90,19,1,3,5,8,7,6,8,10,6
91,24,-1,5,5.666666667,8,10,0,9,6,3
92,25,1,4.666666667,5.666666667,5,9,8,8,4,4
93,24,1,3.5,4.333333333,9,6,2,9,12,8
94,23,1,2,2.666666667,9,12,6,10,14,4
95,25,1,2.333333333,1.666666667,4,13,2,8,8,5
96,20,1,1.5,1.5,4,11,5,9,11,6
97,24,1,4.166666667,7,4,8,5,6,9,4
98,25,1,4.333333333,5.333333333,3,8,2,10,12,3
99,23,1,4.5,4.666666667,7,11,6,8,10,4
100,25,1,3,5,9,11,15,6,9,2
101,19,1,3.833333333,4.666666667,6,11,5,7,5,6
102,23,1,3.833333333,5,5,8,4,7,11,9
103,21,1,3.166666667,3.833333333,10,11,3,9,8,6
104,23,1,3.166666667,4.333333333,7,13,4,9,6,7
105,23,1,1.833333333,1.333333333,6,9,6,9,9,3
106,25,1,4.833333333,5.5,8,9,2,7,9,5
107,19,1,3.333333333,3.833333333,6,9,10,9,11,5
108,24,1,1.5,3.333333333,6,7,7,8,7,1
109,24,1,2.833333333,3.5,4,7,8,8,8,5
110,24,1,2.166666667,5.5,10,8,9,9,12,6
111,23,1,2,4.833333333,5,10,2,7,12,7
112,19,1,4.166666667,5.666666667,9,10,2,7,11,9
113,20,1,2.833333333,4.833333333,9,11,6,9,12,1
114,18,1,2.166666667,2.166666667,4,7,4,8,9,7
115,25,1,1.5,1.5,5,9,7,6,8,7
116,20,-1,1.333333333,2.333333333,8,8,5,7,10,4
117,22,1,5,3.833333333,6,9,7,8,11,7
118,21,1,5,6.666666667,9,10,0,10,14,1
119,25,1,2.333333333,1,8,12,7,5,5,6
120,24,1,2.5,1.5,8,12,0,10,10,0
121,24,1,1.333333333,2.5,8,13,5,6,10,6
122,25,1,3,5.166666667,6,10,6,9,9,10
123,23,1,3.166666667,4.833333333,8,0,3,6,0,10
124,24,1,5,4.666666667,8,7,10,8,10,0
125,22,1,2.833333333,4.333333333,8,9,6,10,7,7
126,22,1,3,5,10,12,0,10,10,4
127,23,1,5,4.333333333,6,8,10,10,11,5
128,19,1,4.166666667,5.5,9,10,6,9,12,0
129,25,1,4.833333333,6.666666667,9,11,4,10,6,6
130,25,1,1.333333333,4,4,9,7,6,11,3
131,23,1,3,6.333333333,9,12,1,9,7,6
132,25,1,3.333333333,4.333333333,8,10,5,6,6,4
133,22,1,3.666666667,5.666666667,7,7,6,6,12,2
134,23,1,2.166666667,4.333333333,4,11,0,7,11,6
135,18,1,1.666666667,3,7,7,4,9,9,7
136,22,1,5,5.5,8,11,3,8,11,5
137,23,1,3,5,6,7,6,8,7,7
138,24,1,5,8.833333333,10,10,8,6,9,4
139,24,1,3.333333333,5.333333333,5,10,5,8,9,9
140,25,1,2.333333333,5.166666667,10,11,3,5,8,4
141,18,1,2,3,7,10,5,8,10,3
